"","sex","age","student","employed","sleep","courses","studying","gpa","attend","cigarett","coffee","soda","tv","alcohol","dogs","cats","parents","sexual","condoms","accident","speed","physical","intellig","money","car","stress","relaxed","worry","notblue","disturbe","upset","mood","swings","irritate","blue","intell.","money.","car.","stress.","relax.","worry.","notblue.","disturb.","upset.","mood.","swings.","irritat.","blue.","attend.","condom.","speed.","neur","drink"
"91","Female",23,"Full-time","Not employed",6.5,3,12,4,"Always   ",0,0,10,10,2,0,0,"Yes","Yes","Often    ",0,"Rarely   ",5,"Agree            ","Disagree         ","Disagree         ","Agree            ","Agree            ","Agree            ","Disagree         ","Neutral          ","Agree            ","Agree            ","Disagree         ","Agree            ","Agree            ","Often","Disagree","Disagree","Often","Disagree","Often","Often","Neutral","Often","Often","Disagree","Often","Often","Always","Often","Rarely",35,"Yes"
"92","Female",18,"Full-time","Not employed",6,1,4,2,"Always   ",0,1,4,1,0,2,0,"Yes","Yes","Rarely   ",0,"Often    ",0,"Agree            ","Strongly Disagree","Strongly Disagree","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Strongly Agree   ","Strongly Agree   ","Strongly Agree   ","Strongly Agree   ","Strongly Agree   ","Often","Strongly Disagree","Strongly Disagree","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Always","Rarely","Often",50,"No"
"93","Female",18,"Full-time","Part-time   ",7,1,5,NA,"Always   ",0,1,0,20,0,0,0,"Yes","No ","         ",0,"Sometimes",2,"Agree            ","Disagree         ","Strongly Disagree","Strongly Agree   ","Disagree         ","Agree            ","Disagree         ","Neutral          ","Agree            ","Agree            ","Agree            ","Strongly Agree   ","Neutral          ","Often","Disagree","Strongly Disagree","Always","Often","Often","Often","Neutral","Often","Often","Often","Always","Neutral","Always",NA,"Sometims",40,"No"
"94","Female",20,"Full-time","Part-time   ",9,2,8,3.5,"Always   ",0,0,5,6,0,0,0,"No ","Yes","Sometimes",1,"Sometimes",5,"Neutral          ","Disagree         ","Agree            ","Strongly Agree   ","Disagree         ","Strongly Agree   ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Strongly Agree   ","Strongly Agree   ","Agree            ","Neutral","Disagree","Often","Always","Often","Always","Often","Disagree","Neutral","Disagree","Always","Always","Often","Always","Sometims","Sometims",39,"No"
"95","Female",20,"Full-time","Part-time   ",6,1,2,2,"Always   ",0,2,1,2,0,0,0,"No ","Yes","Often    ",1,"Sometimes",5,"Neutral          ","Neutral          ","Disagree         ","Disagree         ","Strongly Agree   ","Strongly Agree   ","Agree            ","Neutral          ","Disagree         ","Strongly Disagree","Strongly Disagree","Neutral          ","Disagree         ","Neutral","Neutral","Disagree","Disagree","Strongly Disagree","Always","Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Always","Often","Sometims",22,"No"
"96","Female",18,"Full-time","Not employed",5,2,15,3,"Always   ",0,0,2,12.5,0,0,0,"No ","No ","         ",0,"Never    ",10,"Agree            ","Neutral          ","Strongly Disagree","Disagree         ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Neutral","Strongly Disagree","Disagree","Neutral","Often","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Always",NA,"Never",25,"No"
"97","Female",47,"Part-time","Part-time   ",7,1,7,2,"Often    ",0,0,6,7,0,0,3,"No ","Yes","Never    ",2,"Rarely   ",0,"Neutral          ","Strongly Disagree","Neutral          ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Neutral          ","Neutral          ","Neutral          ","Disagree         ","Neutral          ","Neutral          ","Neutral","Strongly Disagree","Neutral","Neutral","Disagree","Neutral","Often","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Often","Never","Rarely",29,"No"
"98","Female",20,"Full-time","Part-time   ",6,1,3,2,"Often    ",0,1,0,0,1,0,0,"No ","Yes","Rarely   ",0,"Sometimes",2,"Neutral          ","Neutral          ","Strongly Disagree","Disagree         ","Agree            ","Strongly Agree   ","Neutral          ","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree         ","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Always","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Often","Rarely","Sometims",19,"Yes"
"99","Female",20,"Full-time","Not employed",8,5,3,3,"Always   ",0,0,1,50,0,0,1,"No ","Yes","Always   ",1,"Rarely   ",2,"Strongly Agree   ","Disagree         ","Disagree         ","Neutral          ","Agree            ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Always","Disagree","Disagree","Neutral","Disagree","Often","Often","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Always","Always","Rarely",27,"No"
"100","Female",21,"Full-time","Part-time   ",8,27,5,4,"Often    ",0,1,0,2,0,0,0,"No ","Yes","Rarely   ",3,"Sometimes",10,"Agree            ","Disagree         ","Strongly Disagree","Disagree         ","Agree            ","Neutral          ","Neutral          ","Disagree         ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Disagree","Strongly Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Often","Disagree","Disagree","Disagree","Disagree","Often","Rarely","Sometims",24,"No"
"101","Female",21,"Part-time","Full-time   ",7,2,6,2.5,"Often    ",0,0,5,4,0,3,3,"Yes","No ","Never    ",0,"Often    ",3,"Neutral          ","Strongly Disagree","Agree            ","Disagree         ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral","Strongly Disagree","Often","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Often","Never","Often",21,"No"
"102","Female",22,"Full-time","Part-time   ",5,4,5,3.5,"Always   ",0,0,1,4,0,0,0,"Yes","No ","Never    ",3,"Always   ",12,"Agree            ","Disagree         ","Disagree         ","Neutral          ","Agree            ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always","Never","Always",22,"No"
"103","Female",23,"Full-time","Part-time   ",4,3,12,3.5,"Always   ",20,10,2,5,2,0,0,"No ","Yes","Sometimes",0,"Sometimes",1,"Agree            ","Agree            ","Strongly Agree   ","Neutral          ","Disagree         ","Agree            ","Agree            ","Disagree         ","Disagree         ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Often","Often","Always","Neutral","Often","Often","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Always","Sometims","Sometims",27,"Yes"
"104","Female",21,"Full-time","Part-time   ",6,1,4,3.8,"Always   ",0,0,2,2,0,2,0,"Yes","Yes","Sometimes",1,"Sometimes",5,"Agree            ","Strongly Disagree","Strongly Agree   ","Disagree         ","Agree            ","Agree            ","Disagree         ","Strongly Disagree","Strongly Disagree","Disagree         ","Disagree         ","Strongly Disagree","Agree            ","Often","Strongly Disagree","Always","Disagree","Disagree","Often","Often","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Often","Always","Sometims","Sometims",23,"No"
"105","Female",18,"Part-time","Full-time   ",7,1,12.5,NA,"Always   ",0,2,0,5,1,0,0,"Yes","Yes","Never    ",1,"Always   ",0,"Agree            ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Disagree         ","Neutral          ","Neutral          ","Disagree         ","Agree            ","Disagree         ","Often","Neutral","Often","Neutral","Often","Often","Neutral","Disagree","Neutral","Neutral","Disagree","Often","Disagree","Always","Never","Always",30,"Yes"
"106","Female",22,"Full-time","Part-time   ",4,2,8,2.3,"Always   ",0,0,10,10,2,0,0,"No ","No ","         ",1,"Sometimes",0,"Agree            ","Disagree         ","Agree            ","Disagree         ","Agree            ","Disagree         ","Agree            ","Agree            ","Disagree         ","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree         ","Often","Disagree","Often","Disagree","Disagree","Disagree","Disagree","Often","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Always",NA,"Sometims",19,"Yes"
"107","Female",21,"Full-time","Part-time   ",7,2,6,3,"Always   ",0,0,0,3,4,0,0,"No ","Yes","Never    ",1,"Often    ",6,"Agree            ","Disagree         ","Disagree         ","Agree            ","Neutral          ","Agree            ","Neutral          ","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Neutral          ","Often","Disagree","Disagree","Often","Neutral","Often","Neutral","Often","Often","Often","Often","Often","Neutral","Always","Never","Often",37,"Yes"
"108","Female",21,"Full-time","Part-time   ",7.5,2,6,2,"Often    ",0,0,3,9,0,0,0,"No ","Yes","Always   ",0,"Sometimes",7,"Agree            ","Neutral          ","Agree            ","Agree            ","Neutral          ","Agree            ","Agree            ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Often","Neutral","Often","Often","Neutral","Often","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Often","Always","Sometims",26,"No"
"109","Female",18,"Part-time","Full-time   ",8,1,10,NA,"Always   ",0,1.5,0,5,0,0,0,"Yes","Yes","Never    ",1,"Always   ",3,"Agree            ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Often","Neutral","Often","Neutral","Often","Neutral","Neutral","Often","Disagree","Neutral","Disagree","Often","Neutral","Always","Never","Always",31,"No"
"110","Female",24,"Full-time","Part-time   ",6,2,25,3,"Often    ",10,20,20,2,10,5,2,"Yes","Yes","Never    ",2,"Rarely   ",40.5,"Agree            ","Disagree         ","Agree            ","Agree            ","Disagree         ","Strongly Agree   ","Agree            ","Disagree         ","Agree            ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Often","Disagree","Often","Often","Often","Always","Disagree","Disagree","Often","Disagree","Disagree","Neutral","Disagree","Often","Never","Rarely",30,"Yes"
"111","Female",18,"Full-time","Not employed",5,4,3,3,"Often    ",0,1,10,1,5,0,1,"No ","No ","Sometimes",1,"Often    ",1,"Agree            ","Strongly Agree   ","Strongly Agree   ","Disagree         ","Agree            ","Agree            ","Neutral          ","Agree            ","Agree            ","Strongly Agree   ","Strongly Agree   ","Agree            ","Neutral          ","Often","Always","Always","Disagree","Disagree","Often","Neutral","Often","Often","Always","Always","Often","Neutral","Often","Sometims","Often",36,"Yes"
"112","Female",21,"Full-time","Not employed",5,4,6,3,"Often    ",0,0,1,10,3,0,0,"No ","Yes","Often    ",0,"Often    ",3,"Agree            ","Agree            ","Strongly Agree   ","Disagree         ","Neutral          ","Strongly Disagree","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Neutral          ","Neutral          ","Strongly Disagree","Often","Often","Always","Disagree","Neutral","Strongly Disagree","Often","Disagree","Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Often","Often","Often",24,"Yes"
"113","Female",18,"Full-time","Part-time   ",7,4,2,3,"Always   ",0,0,3,7,0,1,0,"Yes","Yes","Always   ",1,"Often    ",4,"Agree            ","Agree            ","Neutral          ","Neutral          ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Often","Neutral","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always","Always","Often",23,"No"
"114","Female",18,"Full-time","Not employed",9,8,NA,NA,"Always   ",0,0,5,4,0,0,2,"No ","Yes","Always   ",0,"Sometimes",6,"Agree            ","Disagree         ","Agree            ","Agree            ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Disagree         ","Disagree         ","Neutral          ","Often","Disagree","Often","Often","Neutral","Often","Neutral","Disagree","Often","Neutral","Disagree","Disagree","Neutral","Always","Always","Sometims",30,"No"
"115","Female",18,"Full-time","Not employed",9,4,3,3.5,"Always   ",0,0,28,2,0,1,2,"Yes","Yes","Rarely   ",0,"Never    ",2,"Strongly Agree   ","Disagree         ","Disagree         ","Neutral          ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Agree            ","Agree            ","Neutral          ","Agree            ","Disagree         ","Always","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Often","Often","Neutral","Often","Disagree","Always","Rarely","Never",30,"No"
"116","Female",19,"Full-time","Part-time   ",7,4,25,3.5,"Always   ",0,0,0,0.5,0,0,0,"Yes","Yes","Often    ",2,"Often    ",7,"Neutral          ","Disagree         ","Agree            ","Agree            ","Disagree         ","Agree            ","Neutral          ","Agree            ","Neutral          ","Strongly Agree   ","Strongly Agree   ","Agree            ","Neutral          ","Neutral","Disagree","Often","Often","Often","Often","Neutral","Often","Neutral","Always","Always","Often","Neutral","Always","Often","Often",39,"No"
"117","Female",20,"Full-time","Not employed",9,4,10,3,"Always   ",0,0,5,3,0,0,2,"Yes","No ","         ",0,"Never    ",3,"Agree            ","Disagree         ","Strongly Disagree","Agree            ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Strongly Disagree","Neutral          ","Disagree         ","Disagree         ","Neutral          ","Often","Disagree","Strongly Disagree","Often","Neutral","Often","Often","Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Always",NA,"Never",28,"No"
"118","Female",18,"Full-time","Part-time   ",8,5,10,NA,"Always   ",0,0,4,5,0,2,0,"Yes","No ","         ",0,"Sometimes",2,"Neutral          ","Disagree         ","Agree            ","Strongly Disagree","Strongly Agree   ","Neutral          ","Strongly Agree   ","Disagree         ","Strongly Disagree","Disagree         ","Disagree         ","Disagree         ","Strongly Disagree","Neutral","Disagree","Often","Strongly Disagree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Always",NA,"Sometims",16,"No"
"119","Female",30,"Full-time","Part-time   ",8,12,12.5,3.5,"Often    ",7.5,0,5,10,30,0,0,"No ","Yes","Never    ",1,"Sometimes",0,"Agree            ","Disagree         ","Neutral          ","Strongly Agree   ","Strongly Disagree","Strongly Agree   ","Disagree         ","Strongly Agree   ","Strongly Agree   ","Agree            ","Strongly Agree   ","Neutral          ","Agree            ","Often","Disagree","Neutral","Always","Always","Always","Often","Always","Always","Often","Always","Neutral","Often","Often","Never","Sometims",45,"Yes"
"120","Female",18,"Full-time","Not employed",8,4,1,NA,"Always   ",0,1,5,1,10,0,1,"No ","No ","Never    ",1,"Sometimes",0,"Agree            ","Disagree         ","Strongly Disagree","Agree            ","Agree            ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Neutral          ","Strongly Disagree","Disagree         ","Neutral          ","Often","Disagree","Strongly Disagree","Often","Disagree","Neutral","Often","Often","Neutral","Neutral","Strongly Disagree","Disagree","Neutral","Always","Never","Sometims",29,"Yes"
"121","Female",30,"Full-time","Not employed",6.5,4,20,4,"Always   ",0,0,1,5,0,1,0,"No ","Yes","Never    ",1,"Rarely   ",3.5,"Neutral          ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Agree            ","Agree            ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Neutral          ","Disagree         ","Neutral","Neutral","Often","Neutral","Neutral","Often","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Always","Never","Rarely",26,"No"
"122","Female",28,"Part-time","Full-time   ",4,2,12,2.5,"Always   ",0,0,77.5,10,0,1,0,"Yes","Yes","Rarely   ",2,"Sometimes",5,"Neutral          ","Strongly Disagree","Strongly Disagree","Strongly Agree   ","Disagree         ","Strongly Agree   ","Strongly Disagree","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Neutral","Strongly Disagree","Strongly Disagree","Always","Often","Always","Always","Often","Often","Often","Often","Often","Often","Always","Rarely","Sometims",43,"No"
"123","Female",21,"Full-time","Not employed",8,6,6,3.6,"Often    ",0,0,0,6,4,1,0,"No ","Yes","Never    ",0,"Often    ",1,"Agree            ","Disagree         ","Neutral          ","Disagree         ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Often","Disagree","Neutral","Disagree","Neutral","Often","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Often","Never","Often",25,"Yes"
"124","Female",19,"Full-time","Part-time   ",8,10,10,2.8,"Always   ",0,0,1,6,0,0,0,"Yes","No ","         ",0,"Sometimes",0,"Neutral          ","Neutral          ","Strongly Disagree","Agree            ","Neutral          ","Agree            ","Agree            ","Strongly Agree   ","Agree            ","Agree            ","Disagree         ","Strongly Agree   ","Disagree         ","Neutral","Neutral","Strongly Disagree","Often","Neutral","Often","Disagree","Always","Often","Often","Disagree","Always","Disagree","Always",NA,"Sometims",35,"No"
"125","Female",41,"Full-time","Full-time   ",7,4,12,3,"Always   ",0,5,12,10,0,2,0,"No ","Yes","Never    ",2,"Often    ",0,"Neutral          ","Disagree         ","Agree            ","Disagree         ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral","Disagree","Often","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always","Never","Often",21,"No"
"126","Female",19,"Full-time","Full-time   ",6,4,9,3.5,"Always   ",5,0,24,7,0,0,4,"Yes","Yes","Rarely   ",3,"Sometimes",1.5,"Neutral          ","Disagree         ","Agree            ","Neutral          ","Disagree         ","Strongly Agree   ","Disagree         ","Agree            ","Neutral          ","Agree            ","Agree            ","Agree            ","Neutral          ","Neutral","Disagree","Often","Neutral","Often","Always","Often","Often","Neutral","Often","Often","Often","Neutral","Always","Rarely","Sometims",38,"No"
"127","Female",19,"Full-time","Part-time   ",5,4,3,2.5,"Always   ",0,2,0,4,0,0,0,"Yes","No ","         ",0,"Sometimes",2,"Agree            ","Disagree         ","Disagree         ","Neutral          ","Agree            ","Neutral          ","Neutral          ","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree         ","Strongly Disagree","Often","Disagree","Disagree","Neutral","Disagree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Always",NA,"Sometims",18,"No"
"128","Female",18,"Full-time","Not employed",9,4,11.5,3.5,"Always   ",0,2,3,28,0.5,2,0,"Yes","Yes","Always   ",2,"Always   ",1,"Agree            ","Strongly Disagree","Disagree         ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Agree            ","Agree            ","Agree            ","Agree            ","Often","Strongly Disagree","Disagree","Neutral","Neutral","Disagree","Often","Disagree","Neutral","Often","Often","Often","Often","Always","Always","Always",33,"Yes"
"129","Female",18,"Full-time","Not employed",9,6,12,NA,"Always   ",0,1,2,7,0,0,0,"Yes","Yes","Always   ",0,"Sometimes",0,"Agree            ","Disagree         ","Disagree         ","Strongly Agree   ","Neutral          ","Strongly Agree   ","Disagree         ","Agree            ","Disagree         ","Agree            ","Strongly Agree   ","Agree            ","Disagree         ","Often","Disagree","Disagree","Always","Neutral","Always","Often","Often","Disagree","Often","Always","Often","Disagree","Always","Always","Sometims",38,"No"
"130","Female",18,"Full-time","Part-time   ",10,4,2,4,"Always   ",0,2,3,3,0,1,0,"Yes","Yes","Often    ",1,"Often    ",2,"Agree            ","Neutral          ","Agree            ","Disagree         ","Agree            ","Agree            ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Neutral","Often","Disagree","Disagree","Often","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always","Often","Often",22,"No"
"131","Female",18,"Full-time","Part-time   ",7,5,5,3.75,"Always   ",0,0,1,56,0,1,0,"Yes","No ","         ",0,"Always   ",2,"Agree            ","Neutral          ","Disagree         ","Neutral          ","Agree            ","Agree            ","Neutral          ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Often","Neutral","Disagree","Neutral","Disagree","Often","Neutral","Neutral","Often","Neutral","Disagree","Often","Neutral","Always",NA,"Always",31,"No"
"132","Female",18,"Part-time","Full-time   ",8.5,2,12,4,"Always   ",0,0,0,0,0,0,0,"No ","No ","         ",0,"Rarely   ",1,"Neutral          ","Disagree         ","Neutral          ","Agree            ","Neutral          ","Agree            ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Neutral          ","Disagree         ","Neutral","Disagree","Neutral","Often","Neutral","Often","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Always",NA,"Rarely",27,"No"
"133","Female",18,"Full-time","Part-time   ",8,5,30,NA,"Always   ",0,0,0,5,1,0,0,"No ","No ","         ",0,"Always   ",1.5,"Neutral          ","Disagree         ","Agree            ","Disagree         ","Neutral          ","Neutral          ","Agree            ","Disagree         ","Neutral          ","Disagree         ","Strongly Disagree","Neutral          ","Disagree         ","Neutral","Disagree","Often","Disagree","Neutral","Neutral","Disagree","Disagree","Neutral","Disagree","Strongly Disagree","Neutral","Disagree","Always",NA,"Always",23,"Yes"
"134","Female",18,"Full-time","Full-time   ",4.5,5,8,NA,"Always   ",0,0,0,10,0,2,0,"Yes","No ","         ",0,"Sometimes",5,"Agree            ","Disagree         ","Agree            ","Disagree         ","Agree            ","Neutral          ","Agree            ","Disagree         ","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree         ","Strongly Disagree","Often","Disagree","Often","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Always",NA,"Sometims",17,"No"
"135","Female",18,"Full-time","Part-time   ",6,5,11,3.5,"Always   ",0,0,5,4,0,2,3,"Yes","Yes","Always   ",1,"Always   ",5,"Agree            ","Neutral          ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Neutral","Disagree","Often","Disagree","Often","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always","Always","Always",24,"No"
"136","Female",18,"Full-time","            ",7,5,6,3,"Always   ",0,0,12,3,0,0,0,"Yes","Yes","Always   ",0,"Rarely   ",0,"Agree            ","Disagree         ","Disagree         ","Strongly Disagree","Agree            ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always","Always","Rarely",20,"No"
"137","Female",18,"Full-time","Full-time   ",6,4,11.5,NA,"Always   ",5,4,10,1,1.5,1,0,"Yes","No ","         ",0,"Always   ",1,"Neutral          ","Disagree         ","Neutral          ","Agree            ","Disagree         ","Strongly Agree   ","Disagree         ","Disagree         ","Neutral          ","Neutral          ","Disagree         ","Disagree         ","Agree            ","Neutral","Disagree","Neutral","Often","Often","Always","Often","Disagree","Neutral","Neutral","Disagree","Disagree","Often","Always",NA,"Always",33,"Yes"
"138","Female",22,"Full-time","Not employed",9,6,12,4,"Always   ",0,0,5,10,1,1,1,"No ","Yes","Often    ",0,"Often    ",7,"Strongly Agree   ","Strongly Disagree","Disagree         ","Disagree         ","Agree            ","Neutral          ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Agree            ","Agree            ","Always","Strongly Disagree","Disagree","Disagree","Disagree","Neutral","Often","Disagree","Disagree","Disagree","Disagree","Often","Often","Always","Often","Often",27,"Yes"
"139","Female",20,"Full-time","Not employed",8,6,13.5,3.5,"Always   ",0,0,0,17,0,1,0,"No ","Yes","Sometimes",0,"Often    ",0,"Agree            ","Disagree         ","Strongly Disagree","Agree            ","Neutral          ","Strongly Agree   ","Agree            ","Agree            ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Often","Disagree","Strongly Disagree","Often","Neutral","Always","Disagree","Often","Disagree","Often","Often","Often","Often","Always","Sometims","Often",36,"No"
"140","Female",18,"Full-time","Not employed",10,6,16,3,"Always   ",0,0,5,0,5,2,0,"Yes","No ","         ",1,"Rarely   ",20,"Strongly Agree   ","Strongly Disagree","Strongly Disagree","Neutral          ","Agree            ","Agree            ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Always","Strongly Disagree","Strongly Disagree","Neutral","Disagree","Often","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Always",NA,"Rarely",23,"Yes"
"141","Female",19,"Full-time","Not employed",6.5,4,5,3,"Always   ",3,2,6,6,0.5,0,1,"Yes","Yes","Often    ",0,"Often    ",7,"Agree            ","Neutral          ","Disagree         ","Agree            ","Neutral          ","Agree            ","Disagree         ","Disagree         ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Often","Neutral","Disagree","Often","Neutral","Often","Often","Disagree","Disagree","Often","Often","Often","Often","Always","Often","Often",35,"Yes"
"142","Female",18,"Full-time","Part-time   ",6,4,14,2.5,"Always   ",0,0,8,21,0,0,0,"Yes","Yes","Always   ",0,"Sometimes",2,"Agree            ","Neutral          ","Strongly Disagree","Agree            ","Neutral          ","Agree            ","Neutral          ","Agree            ","Agree            ","Disagree         ","Disagree         ","Neutral          ","Neutral          ","Often","Neutral","Strongly Disagree","Often","Neutral","Often","Neutral","Often","Often","Disagree","Disagree","Neutral","Neutral","Always","Always","Sometims",32,"No"
"143","Female",22,"Full-time","Part-time   ",8,5,15,3,"Always   ",0,0,0,2,0,0,0,"No ","Yes","Never    ",0,"Rarely   ",11,"Agree            ","Neutral          ","Disagree         ","Strongly Agree   ","Disagree         ","Agree            ","Strongly Disagree","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Strongly Disagree","Often","Neutral","Disagree","Always","Often","Often","Always","Often","Often","Often","Often","Often","Strongly Disagree","Always","Never","Rarely",39,"No"
"144","Female",18,"Full-time","Part-time   ",5,5,1,3,"Often    ",0,0,2,8,3,1,0,"Yes","Yes","Often    ",1,"Sometimes",2,"Agree            ","Disagree         ","Disagree         ","Agree            ","Neutral          ","Agree            ","Disagree         ","Agree            ","Agree            ","Agree            ","Agree            ","Agree            ","Neutral          ","Often","Disagree","Disagree","Often","Neutral","Often","Often","Often","Often","Often","Often","Often","Neutral","Often","Often","Sometims",38,"Yes"
"145","Female",18,"Full-time","Part-time   ",7,4,15,3.5,"Always   ",0,0,10,10,2,1,0,"Yes","Yes","Always   ",0,"Never    ",2,"Strongly Disagree","Neutral          ","Neutral          ","Agree            ","Agree            ","Agree            ","Agree            ","Disagree         ","Disagree         ","Agree            ","Neutral          ","Disagree         ","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Often","Disagree","Often","Disagree","Disagree","Disagree","Often","Neutral","Disagree","Strongly Disagree","Always","Always","Never",26,"Yes"
"146","Female",18,"Full-time","Not employed",8,4,5,3,"Always   ",0,1,7,12,0,4,0,"Yes","No ","         ",0,"Often    ",5,"Agree            ","Disagree         ","Agree            ","Disagree         ","Strongly Agree   ","Strongly Disagree","Agree            ","Disagree         ","Strongly Disagree","Disagree         ","Disagree         ","Disagree         ","Disagree         ","Often","Disagree","Often","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Always",NA,"Often",17,"No"
